Name,,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
1117,,Jagatpura,137 Dining Reviews,"3,418 Delivery Reviews",Casual Dining ,"North Indian, Fast Food",500,no,no,yes,yes,3.4,3.7
Feb-20,,Mansarovar,30 Dining Reviews,231 Delivery Reviews,Quick Bites ,Fast Food,300,yes,no,yes,yes,3.4,3.8
#Jaipur Darbar,,Pratap Nagar,18 Dining Reviews,126 Delivery Reviews,Quick Bites ,"North Indian, Mughlai, Chinese, Fast Food",500,no,no,yes,yes,3.5,3.8
#Underground Restro & Bar,,Vidhyadhar Nagar,13 Dining Reviews,Does not offer Delivery,Bar ,"North Indian, Mughlai",700,no,yes,no,yes,3.1,
0141 Resturant,,Jagatpura,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,350,no,no,no,yes,,
100 Feet Above Restro Bar- The Fern Residency,,Adarsh Nagar,9 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, European","1,600",no,no,no,yes,3.4,
11 Haandi,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"South Indian, Beverages, Fast Food",350,yes,no,yes,no,,
11 Haandi,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"South Indian, Chinese, Italian",250,yes,no,yes,no,,
1135 AD,,Amer,644 Dining Reviews,Does not offer Delivery,Fine Dining ,"North Indian, Mughlai, Rajasthani","2,500",no,no,no,yes,4.1,
11MG,,Mansarovar,135 Dining Reviews,837 Delivery Reviews,CAF,Cafe,400,yes,no,yes,yes,3.8,3.9
12 Miles,,Sitapur,11 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Mughlai",450,no,no,yes,yes,3,
14 Tables,,MI Road,152 Dining Reviews,Not enough Delivery Reviews,"Casual Dining, Bar ","Continental, Chinese, North Indian, Italian","1,600",no,yes,yes,yes,3.7,
180 Degree - The Theme Hotel,,Sanganer,194 Dining Reviews,726 Delivery Reviews,"Casual Dining, Bar ","North Indian, Continental, Chinese","1,400",no,yes,yes,yes,3.8,3.9
1805 Restaurant,,Jhotwara,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Beverages",400,no,no,yes,yes,2.9,
1962 The Food Club,,C Scheme,Not enough Dining Reviews,218 Delivery Reviews,Quick Bites ,"North Indian, Chinese",350,no,no,yes,yes,,4
1st Story - Four Points By Sheraton,,Gopalpura,81 Dining Reviews,Does not offer Delivery,Bar ,Finger Food,"2,500",no,yes,no,yes,3.9,
2 Countries,,Jawahar Nagar,10 Dining Reviews,Does not offer Delivery,Quick Bites ,Iranian,550,no,no,no,yes,3.6,
24/7 Restaurant- The LaLiT Jaipur,,Malviya Nagar,284 Dining Reviews,Not enough Delivery Reviews,Fine Dining ,"North Indian, Continental, Asian, Italian","3,000",no,yes,yes,yes,4,
28 29 Eatup,,Vaishali Nagar,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese",500,yes,no,yes,yes,3,
3 Bites,,Sodala,18 Dining Reviews,27 Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Chinese",600,yes,no,yes,yes,3.4,3.5
3 D's Restro Lounge,,Malviya Nagar,607 Dining Reviews,Does not offer Delivery,"Casual Dining, Bar ","North Indian, Chinese, Italian, Continental, Beverages","1,600",no,yes,no,yes,3.7,
36 China Town,,Sodala,9 Dining Reviews,Does not offer Delivery,Quick Bites ,Chinese,500,no,no,no,yes,3,
365 Cafe,,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Beverages",400,yes,no,no,yes,,
3D Restro Lounge,,Malviya Nagar,301 Dining Reviews,Not enough Delivery Reviews,"Lounge, Pub ","North Indian, Fast Food, Italian, Chinese, Beverages","1,600",no,yes,yes,yes,3.8,
